userName,score,at,content
Dony Nugroho,2,2024-07-17 00:52:27,baik
nduk mia,5,2024-07-17 00:48:28,sangat membantu
Aida Rofi'ah,1,2024-07-16 23:37:27,Kak mohon di bantu saya refund sudah 3 hari kenapa blm masuk juga ke rekening. Dengan pengajuan ID#R20232842
Fani Sofwan,5,2024-07-16 22:49:10,Aplikasinya keren bisa bantu kita hemat biaya tf makasih flip
syifa elvira,1,2024-07-16 22:30:00,Kecewa saya trf tidak masuk pelayanan sangat mengecewakan
Gita Ria Octafia,4,2024-07-16 22:26:12,"Aplikasinya sangat bermanfaat. Kak, apakah fitur transaksi, bisa diatur agar kita bisa melihat riwayat transaksi semenjak kita menggunakan Flip? Karena sangat dibutuhkan sebagai rekam jejak digital ketika saya lupa tidak menyimpan bukti di folder sendiri, dan dibutuhkan sebagai bukti transaksi ke orang lain."
PahrulParihatVEVO ™,5,2024-07-16 19:40:40,🥳🥳🥳
Fahrul Widianto,3,2024-07-16 18:18:06,Katanya TANPA biaya admin. Giliran mau transfer tetap aja ada biaya adminnya
rahman rahmann,5,2024-07-16 15:44:50,Senang
Dede Maulana Ishak,5,2024-07-16 14:21:49,TERIMAKASIH ATAS BANTUAN NYA
Enni Indrarini,5,2024-07-16 13:55:42,"bertransaksi jadi lebih mudah, lebih hemat biayanya dan cepat."
Irha Awal,5,2024-07-16 13:55:33,sangat membantu
Akmal Nugraha,1,2024-07-16 13:40:46,"PELAYANAN TIDUR ALIAS MOLOR, APLIKASI TOLOL GA TOP UP GA TRANSFER SAMA AJAA LAMA LELET BEGO BANGET ORANG IT NYA TOLOL"
Alfaidzi Lara,5,2024-07-16 12:25:15,"Okey sih ini win win solutionnya, akhirnya pengajuan refund saya berhasil. Semoga kak ilene CS yang membantu saya dipermudah segala urusannya."
Katniis,2,2024-07-16 12:17:59,"Hadeh, udahlah top up ewallet berbayar, dari ovo nya sendiri masih kepotong 1500, biaya top up lebih dari 2k awokwkwkakwk"
emha corp,5,2024-07-16 12:12:37,oke
Titin Sumarni,5,2024-07-16 11:19:18,👍🏻👍🏻
Nada Tanjung Official,5,2024-07-16 09:41:39,sangat bermanfaat dan mudah digunakan
yohanes irwan soandi,5,2024-07-16 09:39:12,"mantap, cepat dan ringkas."
Oim Slow,5,2024-07-16 09:33:49,ok sip terima kasih
Dewa Cahyo124 (ACDN),5,2024-07-16 08:06:11,Terima kasih untuk bantuannya dana yang kemarin sudah masuk Dan minta tolong untuk di perbaiki aplikasnya kadang lemot
Rahmi Yasiroh,5,2024-07-16 08:01:50,goooooood
Nandi Kulewa,1,2024-07-16 06:53:12,"Jelek aplikasinya, gak lag tapi ga responsif"
yudi frima,5,2024-07-16 06:47:59,paling mantap sepanet bumi
Achmad Syaiful Umam,5,2024-07-16 06:39:11,sangat membantu
dadan syamsidar,5,2024-07-16 06:25:49,ok
Al Hafiz,5,2024-07-16 03:31:37,good
Latifah Mamoen,5,2024-07-16 03:05:33,Dengan flip lebih murah
rima nurfitri,2,2024-07-16 03:03:35,Mau pakai ga bisa dibuka terus. Kesel ga bisa transaksi. Saya coba habis dan instal lagi. Semoga lancar.
Agus Firnanto,4,2024-07-16 02:55:41,"Sekaranga makin jelek, trf 2 sd 3 transaksi gak bisa..saya pengguna lama lebih dari 3 thn"
Sahid Paluo,5,2024-07-16 02:50:17,biar bintang yg bicara
Fachry Yuanardi Abdurrahman,5,2024-07-16 01:26:38,"benar benar mempermudah transaksi, Terimakasih Flip ✨"
Nauraokta Okta,5,2024-07-16 01:04:40,"sangat menguntungkan y. bisa transfer ke bank lain tanpa biaya administrasi. isi pulsa jg lebih murah, sering jg sya jualan token dll. tp kdg ""pesawatnya"" agak lmbat terbangnya"
Irfan Mufid Zahardian,5,2024-07-16 00:39:27,mantapp
Ummu Fathimah,4,2024-07-16 00:35:00,Lama masuk aplikasinya sekarang...mau transaksi juga susah...lemot banget. Maaf saya uninstall dulu.
Anita,5,2024-07-16 00:05:25,"Alhamdulillah ,,, jadi lebih hemat pakai flip"
gugun gunanto,5,2024-07-16 00:04:41,bisa di andalkan
hunny's collection,5,2024-07-15 23:14:22,Keren
ADJIE Channel,5,2024-07-15 22:57:06,proses cepat
bastian yuda,4,2024-07-15 22:26:57,good
Azka Dzaki,4,2024-07-15 21:45:23,Termurah dan terbaik. Tapi sayang setiap transaksi yg berhasil di notif selalu gagal.why
Akhmad Dhuha Mustajab,5,2024-07-15 20:01:14,nice application
Mardiyanto Btn,5,2024-07-15 16:40:56,Google job
Sulaiman,5,2024-07-15 16:18:38,ok
Dika Putriani,5,2024-07-15 15:51:25,Semoga semakin banyak fitur yang dihadirkan dan stabil.
Ara Setiawan,1,2024-07-15 15:23:31,"Jadi males pakai flip,saldo tiba2 ada yang hilang ntah kemana,dicek riwayat TRX juga tidak ada. Mau komplen juga susah,karena tidak ada bukti trxnya. Dengan sangat berat hati apk ini saya uninstal.. tk"
Vaira putra,5,2024-07-15 14:38:14,👍👍
Paklik “fatkh”,4,2024-07-15 13:35:56,bagus
Mien Irianti,4,2024-07-15 12:29:03,Flip saya tidak bisa di klik ?
Heri Efendi,5,2024-07-15 12:05:26,Mantap pokoknya
Reni Ardhiansyah,5,2024-07-15 12:02:59,sangat memuaskan recommended buwangett 👍👍👍👍👍👍
Adam Putra,5,2024-07-15 11:48:31,bgus
yuli sumarni,5,2024-07-15 11:38:24,sangat membantu sekali
